a,b,c,d,e,f,g,h,i,j,k,l,m
-1.356430548,-0.466344732,0.686181994,0.377660231,-3.491709922,1.599512722,-1.2980705,0.172859991,0.817449476,-0.227611345,-1.244948416,-2.160001532,-0.478574243
-1.352467396,0.595702952,-1.586729099,1.849043514,-1.395599274,-1.458213467,-1.977736532,0.966611513,-2.001024637,0.450623618,0.306049355,-2.373969812,-0.334741629
1.638120121,-2.315040392,2.311057271,1.365286922,-0.770420485,-0.857884743,-2.655233867,-0.239868024,-0.407536595,0.89286807,-0.464759094,-0.732147227,0.601959759
1.826327637,0.846158114,3.110591286,2.053702621,2.364308082,2.418408981,0.873539157,2.383956043,-1.223066526,0.402721869,2.525602989,-2.353057142,2.608070325
-1.427813228,-0.978482691,0.287909838,-0.381753975,4.300032447,2.057469285,0.957071343,-1.970495399,1.383716907,-1.254875851,0.884200606,-0.390036119,-0.261503231
-4.937626118,0.545057378,-1.675063961,0.733193949,0.784310259,-2.415858786,1.41547896,-1.96895506,1.457382832,-1.707731031,2.887031925,0.862432579,3.623806982
-1.483287445,0.855091448,-2.977507931,1.170710143,0.282078227,-0.214314148,-0.711374731,-0.197898339,0.696834473,-0.504686551,3.057628077,-2.092444646,-0.706314034
1.345205387,-0.865619599,-0.049501152,-0.520970001,2.991496941,-0.094522854,0.322816518,-0.743928803,-0.636120102,-0.750103799,2.197354989,-1.377015229,-1.718124819
-4.045562073,0.873423702,-1.232242086,0.44761505,2.201215324,-0.30863246,-1.109409623,0.225921519,0.889106209,-2.615526895,-0.691009127,-1.056120611,-0.131602453
-1.560507932,0.587805966,-1.135702774,-0.234143126,-1.908982727,1.558400419,-0.401263934,-0.988170857,-1.931753491,5.085275183,-1.308352872,2.854232816,-0.807682673
-2.745743337,-0.911825968,1.736542363,0.427766204,3.574452215,3.092271412,1.421984836,-2.54542282,-2.422117666,2.067811533,1.079098588,1.738793887,-1.504717215
-1.711503374,2.705155055,1.820277564,2.472858132,-2.17395962,3.794572953,0.018521027,3.931785868,-0.92013037,-0.067301285,1.493536418,-0.720325622,1.464124296
-0.307068158,0.590668566,-3.161314331,-1.288062748,-2.437346796,2.07714037,-0.321788979,-0.767793451,-0.235234307,1.100008788,-0.347369666,-0.907296377,-1.473987674
0.740959551,9.683729348,1.808851146,2.107992284,0.600818805,2.918798899,-1.428590299,2.492725495,-1.273413808,-2.083374971,1.311940316,3.076596365,-1.104836585
-5.009286728,0.317016225,2.033929849,-0.388757164,0.467641477,0.33580757,1.235125032,-0.924643089,0.909829807,0.816505526,-1.389324269,-2.398334368,-0.305925534
-1.367083755,-0.357904525,-1.234514085,0.473106392,-2.748806213,0.145222662,-2.586585188,0.126134484,-1.031433251,0.242015465,-1.792198115,0.816360973,-0.961530747
-0.762235714,-1.163735178,-0.097950349,1.375452374,3.60804759,1.96795097,0.086419811,-2.109613499,-0.412598309,2.098416047,-1.209159385,-0.793204649,-0.011163095
-4.585298462,0.038914698,-3.687489432,0.024787548,2.224213487,-0.202516915,-0.229675895,-0.317666947,0.730468937,-1.386564685,-0.251601516,2.315644182,3.43335233
-2.801741056,-0.82639982,0.345265289,-0.161223591,-1.352945223,1.057181965,-1.681699238,-0.365256776,0.695181114,-1.016557464,1.135787228,1.650124137,-1.065423485
-1.43485867,-1.537956488,0.600512521,3.084932035,-0.861923273,-0.163375263,3.183696207,-0.586341255,-0.626771102,-0.295852253,-2.691759443,3.103317179,-1.322823948
-0.922058734,-1.268510068,0.116975575,1.303568278,4.025774516,1.228253701,-1.321554064,-1.201665555,1.112653823,-0.220884228,-1.291802417,-0.434330849,0.053938409
4.749032674,3.497358382,-0.276687491,-0.454732029,2.488333632,-3.579317946,-0.338136744,-3.784212669,4.065438871,4.201287616,2.369115166,0.531521598,-0.838813269
-1.322253426,-0.355209425,-0.212947796,-1.782470783,-2.697398875,-1.418453749,1.174213378,3.393769198,0.879797317,1.77153839,0.660619966,1.785949539,-0.046302006
1.400682812,-0.833267984,-0.066090487,-0.559607759,2.863116388,-0.672089931,0.875192296,2.127674687,-0.08338185,4.130244291,1.174023294,0.579078296,-0.68154283
-4.727328432,0.066086269,1.606225281,-1.470168352,-1.37163426,2.401675727,0.758547882,-1.231957237,0.641564815,0.309602623,-0.910230937,1.204224823,-0.239743881
-0.937881959,-1.675461484,2.41544483,-0.728651927,-0.334632328,1.890714806,-0.204667109,-1.306615305,0.486833116,-1.760913834,-0.940195215,-0.413431589,0.458557163
0.128819174,-1.909968499,2.438799324,1.020772912,-2.908237494,-3.746233338,7.693115549,-0.172963496,-1.276731072,-0.229766701,-1.862922401,1.694348216,1.402108552
-1.172147,0.33536594,-1.852400972,0.900989727,-0.007555157,-2.222724203,-0.569052646,-0.438222304,0.949482303,0.106025925,1.8050514,-1.203426226,0.895711202
2.322255169,-1.893936763,-0.212956754,0.363351253,-1.167550731,-0.434811335,-0.978210666,-1.33853777,-0.609406262,-0.389672417,0.788346747,-0.242109089,1.794464919
3.982521774,-0.383313825,-3.766458886,-0.678546355,0.409440976,1.564548144,-0.027965779,-1.180821841,-0.602389036,1.195004554,-1.083900722,2.235108661,0.920602923
-2.526625861,0.39021256,-1.520535581,-1.290871586,-0.99319327,-0.826184301,-0.205878836,0.349817289,0.132642841,-1.491029368,-0.142624807,1.965256065,2.376464988
-5.418825009,0.88740325,2.338933028,-0.570273763,0.60680213,-0.418095811,0.128865067,-0.011370858,0.301560508,0.024632998,-1.760452002,-2.40095183,-1.026921352
-4.821114729,0.850726888,-0.465305307,-0.844182341,1.08370868,-1.967743575,1.799509598,-1.577202832,0.192358489,0.088180269,1.404757703,2.103382715,3.225492999
-2.273414047,-0.248643324,-0.307786805,0.322365927,-2.053375576,0.318864472,-1.353969225,0.723635775,0.512335828,-1.542395261,-0.229945073,1.59537907,2.332896712
-1.690687466,-0.084935588,-0.957856015,0.813010925,-2.387600705,2.306232599,-2.088055591,-1.677259366,0.898044912,1.222172146,-0.585525523,0.521413251,0.27449495
1.143381877,-1.412354697,-2.41584659,0.114270527,2.953569934,0.991518833,0.828831948,-1.641021525,0.512482077,0.323029905,-0.981604316,-0.813782385,1.069355778
0.019333868,-2.723526331,2.1874922,3.700912989,-1.370733149,-0.786892302,5.029009744,0.415269875,1.77305906,2.462085786,-1.344397846,2.047160132,-1.291844895
-5.351520951,0.589034055,0.950364564,0.067730051,1.005567925,-0.093358023,1.250079331,-1.015290338,-3.736700203,1.381790834,2.383390286,2.361424679,-0.639210238
1.005954418,-1.638057104,2.553421725,-0.573578868,-0.838965225,0.668497633,1.105148763,-0.966049334,0.619199049,-1.70048065,1.971425058,-1.544678354,0.157278783
-4.138586768,0.889053423,-3.332030291,-2.695866444,2.599287253,-0.107672836,1.897088041,-0.640143886,0.641510834,0.214080095,-1.360550028,2.619677986,3.134088668
-1.44965719,0.730827706,-1.888014087,1.125142428,0.588613054,0.23844642,-0.619276627,-1.117272049,0.508409442,-0.153685071,0.074781084,-2.152663292,-0.64339641
-0.119945724,-1.178569837,-0.246757546,-0.519995503,-3.636248545,0.473222347,-0.789160008,-0.746275631,-1.185654244,3.251944548,-1.013355681,0.312433693,-0.106237078
-3.61634211,0.050049055,0.056957858,-0.207157494,-1.332440069,0.753711479,0.595519044,0.364804452,0.419047425,-1.323357465,0.831634847,0.493310578,-1.058280999
-1.044499863,0.260820113,-2.977200346,-0.058336925,-1.66519385,2.293201418,-0.168570295,-0.222266348,-0.244366454,-0.029848541,0.461398034,0.41108039,-1.78368039
-4.709554926,0.285049959,-0.375151434,2.117284096,2.59617935,-2.00680557,-2.097485868,-0.299962143,-2.123615171,-1.948562926,3.85403313,1.61274359,-0.35167056
-4.513025598,0.709984907,-0.730591133,1.420277096,1.706308604,-1.702564085,-1.270308006,-0.235776924,-1.740921272,-0.508417581,2.288021576,0.357829236,0.239209694
-3.305572781,-0.366045803,0.737529869,-0.525912881,-1.86609741,1.863737774,0.479802297,-0.228522231,-0.037850821,-1.022766662,-0.322381081,0.564305316,-0.272625354
3.900149905,-0.118445146,-2.562338339,-3.565261011,1.212921147,-0.649512616,0.339810018,-0.264460664,-0.06446688,-2.651901093,-1.082372018,0.267449695,0.517295333
-1.455925392,1.2637474,-2.073680351,2.886315395,0.92948132,4.734405848,0.286776943,2.177882298,-1.009032119,0.312193153,2.249650786,-1.58917733,4.365563666
2.131103045,1.141719134,3.517804697,0.695974157,-1.02946979,2.92872582,1.435042318,2.687494519,-0.353352962,-0.151113725,0.857713261,-1.53699218,3.123022817
2.244986924,-1.787566804,0.987516598,0.524432472,-0.742619965,2.12754363,-0.45473557,-0.495597913,-1.170082397,-0.297545047,0.424050677,-0.750596178,1.850665024
2.320652695,-0.95453401,0.833653081,-0.792229394,0.236097215,0.309326617,0.746280162,1.475191219,3.377846821,0.63226961,2.594670934,-0.576359345,-1.556566301
-1.608070758,1.014267578,-0.735868703,-0.794102017,-1.837436704,-0.283985201,-0.687994065,0.410122031,-1.011018152,-0.279327483,-0.77630948,-0.218895943,-1.712139605
3.282763784,-0.306595576,1.406673665,-4.183351737,-0.046201979,-1.934778897,1.922120673,3.50919351,0.884378103,0.87756937,-0.219837831,-0.395876817,-0.424053587
-5.966573995,0.238573642,2.926162811,-2.527353713,-0.425241081,-0.085666113,2.04817336,0.217096635,1.019906907,-1.598605173,-0.377034488,1.21985769,1.362419111
2.891665115,-2.124546695,-1.387917399,1.131786597,0.094628087,1.434478693,-2.21089604,-0.786531871,1.674919427,-1.497894178,1.354399817,0.134240516,-0.259048301
1.740617123,2.951103793,2.404481726,-1.206160103,2.194973079,0.569981552,0.759269492,0.768032151,3.12766333,2.258533096,-1.59086129,5.993909435,-0.914917247
2.638104041,-0.608754848,-3.531259962,3.197799377,1.718748436,-1.644632305,3.5128386,0.835738995,-1.670160536,-2.408518405,-0.801173212,-0.214169422,-1.971402158
-0.502879964,-1.407841175,0.685154608,3.03577654,2.11463352,-2.105860516,-1.540111774,0.41661447,-1.293932798,0.399699051,2.133167855,-0.116897227,1.007268268
-2.297776593,-0.207872658,0.631702963,-0.08611491,-2.454091084,1.025426328,-0.966302956,-0.089162322,0.876509278,0.177518389,-0.747894898,-0.570441437,-0.680492533
-1.670270141,1.01855207,-2.327558076,-1.309259179,-1.80526285,1.866493864,-0.724568252,-0.560493064,0.108653838,0.522939981,-0.543259502,-0.442323172,-0.384934129
-0.129677716,0.916423518,-0.98118936,-0.443342242,-2.537532293,0.80690157,0.122948979,0.76456581,-0.430656306,-0.944210292,-0.852482215,-0.680927376,-0.770878193
1.772009411,-1.972733148,-0.237076832,1.56956545,1.883986743,-1.08172633,-1.893320268,-1.522266334,-2.085723154,2.130062399,1.650084166,0.443886947,-0.57637999
-2.365489697,-0.294065906,-0.515840352,0.303282309,-2.118569404,1.818814067,-0.846287389,-0.149573836,-0.674181849,-0.642563979,0.07987612,0.367339008,-1.557842077
-3.546331773,-0.385726552,0.67299378,-2.140906639,-3.084349263,1.478628376,0.955908478,-0.357344198,-0.51036136,0.614886092,-1.825259421,1.358594791,2.096333311
-1.872254074,1.087045938,-0.523495273,-0.452947413,0.231491612,0.013249261,0.921615602,-0.057247219,-2.01139897,1.764986164,0.546791072,-1.946782229,-1.338450552
2.560734404,-0.157619686,-1.01107219,0.093507178,2.402307118,-1.114936362,0.086126076,1.036812293,-1.22431386,-2.240102166,2.880493861,-1.147899841,-1.339742374
-1.07111445,1.050090731,-5.647217675,-0.572790603,0.323401979,1.056822765,-0.027743638,-1.688838521,1.314123137,2.660631064,-1.556517733,-1.890478519,0.571366828
-2.465964383,-0.435597187,0.754417921,1.346741099,0.683475442,2.698543664,0.897520146,-0.686084365,2.02365683,-1.332448451,1.697573701,0.117995247,-1.040390661
-5.249152743,-0.032484967,0.251697966,0.582702034,1.372580001,-2.928832984,-1.319725505,1.331578024,-0.892717437,-2.278140589,0.970618127,1.491108346,3.102050843
-1.86574974,1.354488407,-3.310190573,-0.574479816,0.711734456,1.341916032,0.994150544,-1.741891719,3.124365042,-2.35806908,0.597231477,-1.059814843,0.348616206
-3.276711158,0.538236821,-1.588396979,1.376795287,1.400404511,-0.001170084,-1.948997988,-1.021130343,1.190501447,0.049381032,-0.051493549,-0.937226277,-0.848587997
-3.107065327,0.126956916,0.594788316,2.375950173,-2.510521968,1.846690795,-2.444566463,0.673669703,0.630317448,-0.797031937,0.28573904,-1.707936992,-1.103545453
-1.317264994,1.05080342,-5.933419763,0.833800356,1.463682557,0.392855891,-1.652791873,-1.01562794,-0.345616815,0.261130158,2.06710741,0.967430998,-0.380603155
0.481397457,-2.222162178,-0.698442142,5.182848483,-1.685202005,-0.739450487,2.30649854,-0.356633268,0.471121165,-1.807634283,-1.923445955,1.757624354,-1.960258083
2.525407066,-1.409760773,0.178129145,-0.428735811,-1.262005281,1.02311562,0.287159931,-1.640436469,0.506098789,0.20942061,1.34718534,-1.367292116,0.429426463
-6.581827159,0.604123965,1.055589426,1.204548835,2.556463704,0.465017904,0.296076086,-0.547414925,-3.357646218,0.527608008,2.407736529,2.572971067,-2.504728735
-1.326492756,-0.362035557,-0.969536857,0.402108203,-3.145643952,-0.164838257,-0.616151501,-0.054906943,-0.507146907,-0.144287,0.18990956,-0.142206829,0.208346514
-0.628621091,-0.786515581,-1.163243756,3.827769511,2.413583009,0.343554376,3.607965987,-0.074364044,1.53311235,-1.600908827,-3.234103566,-0.807379346,-1.745107605
-3.096252339,-0.048104523,1.346947734,-0.947390045,-0.175761971,0.007396635,2.173853429,-0.155835278,0.911658186,0.182103246,-1.219287003,1.489665255,2.02352417
-0.276275839,-0.523669042,-1.34606703,-0.682867657,-1.957621231,1.528648702,-0.669877573,2.560072509,2.672551514,3.000275097,0.480005757,0.102575908,-1.828162223
-4.281165852,0.201668167,-0.940808224,0.878846356,1.282646227,0.202900264,-0.592838781,-0.440275262,-0.127796331,0.116141533,-1.536218724,-0.019438199,-0.21405214
3.175464468,-1.752398825,-0.203120233,-1.6698451,-0.398200111,2.493754353,0.283128214,-1.01603422,-0.580835954,-0.182367244,-0.903715436,0.390722715,-1.071043974
-2.669373924,0.406169708,-1.72033187,0.17023758,0.946933358,0.649593844,-0.263115808,-0.696566214,2.166702647,-0.929117168,-1.211799153,-2.50019763,-0.460300363
-2.608137749,0.36753155,-0.643355858,-1.091520744,-1.08862265,0.080449094,-1.145626854,1.105670045,0.564092912,-2.418163865,0.067875559,0.512898834,-1.057264063
1.044674037,-1.205159126,-1.337123722,-0.088057791,2.868393344,0.480628909,0.970857175,-1.027691539,0.244786977,-0.555474583,-1.206285548,-1.685392928,0.595508027
3.545409703,-1.265985813,-1.340770728,-0.104749882,-0.577549807,1.330102893,0.097957893,-1.143631417,0.139242942,-0.930513997,1.573064247,-1.140819636,-1.038224066
-2.852303735,-0.178999843,2.984360966,-0.67488124,-1.84570881,-1.509041782,-2.358390579,1.087657853,1.187641941,-3.255273845,0.284705566,-1.344774148,-0.935430413
5.758925193,3.544798375,-0.687004928,-0.52410661,-0.587347975,-0.214716651,0.314673554,-5.086356379,3.12229641,4.569245484,1.746279508,0.701092703,-0.729148201
1.217970096,5.829836922,-0.957681728,-0.256197215,-2.157125035,-0.013657944,-1.294422684,-1.736956028,0.660438248,-0.151710691,-0.826662504,0.241199074,-2.676108905
2.91503929,-1.255440406,-1.768547453,-1.920993334,0.233391293,3.377505314,2.472444556,-2.559969775,1.25585368,-0.369810471,2.226435595,0.272730322,0.695782493
-3.606020103,-0.257751762,-0.448684802,1.554339652,0.88274311,0.264392556,-1.53223061,-0.182945581,0.701359874,0.957870638,-1.150673177,-0.858130894,0.175353386
-4.80495627,0.651940051,-0.179815401,0.47026463,1.454051698,-0.10535727,-0.061319953,-0.84149757,-0.144900271,1.468558646,-1.138404327,-0.156453451,0.155718615
-3.212282867,0.67943527,-0.745083874,-1.023389977,1.057817242,-3.078507869,1.131820006,2.466870005,0.806423741,1.833777866,2.652274008,1.609380643,0.910606264
-2.578302627,-0.121530104,0.163043972,0.012917792,-1.760041451,-0.260218021,-1.529044353,0.173076579,0.638106189,-0.717259189,0.175972359,0.421638068,-1.079845696
-1.832164163,3.031552581,-2.774573751,-2.483352756,1.316150904,-2.707156623,1.203378784,0.922681743,-0.701544867,-1.567793641,-0.82894496,-2.398064066,-0.370232214
-0.269682,0.326352664,-3.178699331,1.174551334,0.212836132,-0.081672487,-2.149541016,-0.124462275,0.393535828,0.248235126,-1.326717777,-3.270582295,-0.321703547
1.799428352,-1.668977763,-0.247618816,3.261098662,-2.832396138,-2.297460725,4.663545308,0.027957963,0.416742575,-2.33676083,-0.041623893,-1.110242886,-0.894132272
2.748969678,-0.032649612,-0.029171388,-2.676368787,-0.147695236,0.7074215,0.196875945,0.025677485,-1.224357976,-1.890399119,-0.856454433,-0.006264139,-2.378304405
-2.288048729,-0.370207741,-0.537411363,-1.059218192,-1.506103536,1.556901946,0.551225759,-0.261089283,0.419758043,-0.705033904,-0.308213468,0.712617344,0.166929879
-1.615232728,1.317398435,-5.355183181,-2.098998529,1.106385423,0.571545452,1.717122644,-1.737207549,0.137615598,1.721971637,-2.558248485,0.021998104,2.516931537
-2.563217587,-0.125561157,-0.866748469,0.377877853,-1.407413452,-0.528871784,-2.829666694,0.057148653,1.177618156,-2.164823837,0.20676217,0.688198963,1.087489356
-2.814877338,0.432182493,-0.29538014,-2.073724169,-0.571466632,0.593056906,-1.415763481,0.457521802,0.822476061,-2.437369672,-1.150351777,1.430125077,-1.002659783
-3.657180481,0.592839424,-1.227145123,-0.810214865,1.173898578,0.647610851,0.888086214,-0.505658732,1.456451333,-0.612300083,-0.924385296,-1.818833713,-0.794738436
1.225542459,-2.798974302,2.94686027,0.259463782,-0.776977512,0.879480568,0.240970987,-0.599439763,-0.399821334,-0.235876613,-0.349450673,0.284842336,-0.71916563
1.70789784,3.102635387,-2.203678074,1.67657219,-3.662281492,5.061969305,0.415329458,2.438999764,0.129061323,2.123126231,0.923901911,-1.771862589,2.170337043
-3.252819784,0.197611723,-1.63037006,-1.220985764,-1.002117115,-0.055919552,0.156725469,0.011962032,-0.128014564,-1.009772992,0.115803391,2.865032196,1.458964336
-2.530732372,0.706890408,-0.732988712,-0.405813931,0.482999499,-2.384931932,0.351092287,1.50492783,-0.722454964,3.591351291,0.510975555,-0.180053283,-1.082563892
-2.98001891,-0.113640636,-1.518207779,1.631244431,0.221189987,-1.558888795,-1.531504071,-0.104620153,-0.575771467,1.194993992,1.771881872,-0.062288504,0.73046222
-3.148742606,-0.158129576,1.444365887,0.90760312,2.719312921,2.494819341,0.804120263,-1.033153392,1.370564472,2.507627162,-2.09847079,-1.304319623,-1.166158681
-3.966156934,-0.659432,-0.288714618,2.018374144,-0.705669989,1.52077552,-2.641494468,-0.31456589,-0.878815314,-0.071245106,1.076349578,2.270585289,-1.074947723
-3.597396496,0.771087164,-1.146500485,-0.209145423,0.558401699,-1.23570521,-0.382908473,-0.305034143,0.487897758,0.017092027,-1.436627679,-1.607710479,0.460266938
1.896528199,-1.234383029,-3.664719301,-1.62772292,4.258418139,0.775109617,0.924944771,1.097472529,3.649090041,1.504740084,0.500780058,2.340736608,0.953277669
-5.861489006,0.897663527,-1.019399829,-0.988988534,2.672240489,2.153328959,1.253287309,-1.39459209,0.828597844,-0.391976208,-0.982082601,0.332960547,-0.081269506
-4.079681606,0.20896506,1.975105012,-1.099061809,-1.97899818,1.722344047,0.388553769,-0.08934553,-0.042037502,0.541412638,-0.995755854,-0.320516678,-1.293155408
1.642965707,-2.096476509,2.000134227,0.537794551,-1.408338283,-0.054288189,-0.053130157,-0.269612997,-0.804551439,-0.341150691,0.518857114,-0.905414898,-0.107368657
-4.42258444,0.730171859,-0.948123143,0.698888536,1.232716652,1.466958878,1.481953013,-1.984777649,2.567952583,-1.997617674,3.665895177,-1.557794864,0.24334212
-2.94579415,4.54103862,5.277707261,1.04301099,2.784666352,-1.111921943,1.674840773,-6.721028031,2.287911736,1.697179128,0.760688268,-1.828304448,0.042410117
1.328257348,-1.015549393,-3.43603145,0.858199129,-2.507504167,-1.634591923,-1.149561019,0.648666335,2.269753631,2.529878109,2.243841259,-0.105332809,0.007197719
3.227000701,8.994776567,5.515436266,3.117343345,0.55421575,2.893009686,-0.206321295,-0.212058596,0.603328004,0.391282677,-0.604954575,1.86485625,2.383732295
-5.401799053,0.559537308,-0.084570535,0.059912237,1.275976629,1.526983904,1.931063755,-2.476842095,1.123336227,0.809624706,0.699473478,-0.05607392,0.455925575
-0.741391373,7.632747512,2.062195322,2.417950444,0.323609555,-2.956670035,-2.124674764,0.015575237,-1.111769926,-0.576911571,0.681232908,0.666074705,-1.193008917
1.872210237,3.579861109,5.20966751,3.155977878,2.421687823,1.784541704,-0.516461436,3.41266103,-3.0082242,1.089286142,1.347801757,-0.642372898,1.078778553
-1.162314387,-0.687941274,-1.201942176,0.005859264,-2.680967243,1.085052494,-0.35045864,0.933335074,0.063233243,-0.407632318,-0.682854643,-0.965449078,-1.15656497
-1.829552314,-0.314564024,2.103972603,-0.340218708,-0.123565492,3.272072202,2.56012867,-1.950201529,0.364288424,1.825957444,0.048746382,0.502892877,-1.267923535
-3.323648813,-0.70970151,-1.336863814,1.900774457,-0.087382865,-1.154023629,-2.973948631,-0.735911259,0.372957853,-3.244875336,2.810471014,2.519486908,1.001856258
2.744840106,1.283594504,-1.542960611,3.137586743,3.666959624,6.661143438,0.45598642,0.305657755,0.662275651,0.805826306,1.720191596,-1.62052766,2.50753212
-1.007036339,0.218792292,-0.452301212,-0.092760384,-3.661922297,0.234246556,-0.296471662,0.206777928,1.155189915,-2.350923203,0.569292218,-2.985044092,-0.505859641
-0.660648577,-0.617659377,1.660017109,0.538819063,2.487731007,-0.003748922,1.469302588,-2.2468816,-0.310617198,-0.596796541,1.036153509,-0.723434993,0.215164445
-1.161530258,7.547132125,-1.072116766,2.228461076,1.689157288,-1.438254289,-2.620470105,-1.631558939,-0.626690616,0.404314723,0.280564728,2.625894662,-3.026068978
0.154533123,-0.955069792,1.31408184,0.334490144,2.875214583,1.962791945,2.505411776,-1.758292876,1.59888561,-0.752003255,1.46340183,-1.5443892,1.529986953
-0.33512679,-1.419804305,0.033757701,2.354904586,-0.603578127,-1.237912803,3.74306246,0.178012342,-0.212829986,-1.724431541,-2.570361785,1.763297045,-0.967911111
-1.871868438,0.260828239,-2.465642255,0.640534529,0.803966311,-1.784541812,-0.667489215,-0.536644025,1.579862452,-0.690383815,0.297057275,-1.571601274,1.58507054
1.939291287,-1.904318132,2.335243822,-0.641114926,-0.898471733,1.274940731,0.274667161,-1.209742101,2.023319124,-0.888155366,1.822727969,-0.596587274,-0.236114246
-2.042594518,0.997525353,-2.980355319,-0.95667634,1.151502424,0.205409411,2.855484536,-1.040419401,-0.473760957,0.517443183,0.011807467,0.590620932,0.85108918
-1.755452682,-0.567803516,1.967484318,-0.517229271,3.670826435,0.016075177,1.399393888,-0.723255331,-2.950258316,1.157516921,0.686250799,0.971470965,-0.037726201
-5.251155291,0.996684488,0.062292219,0.159772928,1.856839555,1.159543328,0.045687014,-0.794807118,1.750798706,-1.11444136,-0.750412294,-1.369699576,-1.120255673
-2.263474772,3.925429382,2.590040774,1.632376798,1.729598914,5.166064137,2.001937928,2.973763375,0.90981276,0.06535076,0.169806274,-0.80220058,0.751482547
0.624091824,-2.472993796,1.670552109,0.268294275,-0.280660655,1.600363517,-0.437141384,-0.585083124,0.107425291,0.446379922,-0.795507531,0.494754602,1.876342399
1.36278327,-2.698112415,0.226011424,5.668919732,-3.1883727,-1.629863734,2.681604677,0.035127065,0.962278965,-1.979454509,-0.462577449,-1.094416782,-0.223720173
-4.074097979,0.959356952,-0.588748515,0.128399698,1.815611463,2.111258413,0.447473972,-1.077535328,0.905640924,-0.314105162,-0.175205149,-1.376694425,-2.022614172
3.487261164,7.687909121,0.761681995,0.551755539,4.113454054,-1.843428883,-0.016769306,-1.169786763,0.273226658,-3.117131273,-0.145731237,0.953260692,-1.894016433
-6.20553616,0.581820443,0.872477103,-1.028103571,0.757867666,-0.336864539,1.878527381,-0.394111743,-1.570788952,0.568912553,0.720361764,1.432206764,1.221635835
-1.220938067,-0.077215193,-0.518541332,0.17910626,-3.341865835,-0.299027654,-0.289700707,-0.08918998,0.52754403,-1.422184801,1.801143873,-1.326707028,-1.042541801
-1.202614017,0.66560306,-2.498671995,-1.735303043,-1.719542294,0.565857715,-0.466617252,0.010607317,0.362096657,0.526340543,-0.293715276,-1.048107087,0.133107803
-0.729689838,-1.483653157,1.050794691,1.402138819,3.227640383,1.13430196,-1.536039629,-1.416191905,0.475939181,0.543177421,-0.980611181,-1.292611878,-0.50801132
-3.363115894,0.826155567,-2.609431794,0.658081783,2.356837463,-2.2714161,-2.128966323,0.927653502,0.635316568,-2.385607773,-0.103498319,-0.456593538,0.695499467
-5.152960637,0.918047347,1.274789501,-0.212197296,0.515215787,-0.324067173,0.900782483,-0.34479597,0.37332873,0.38140062,-1.545924804,-1.416067667,-0.558138113
